Sym,Name,Industry,M Cap,%5d
IFT,INFRATIL LIMITED.,Capital Goods,$11B,2.3
MPL,MEDIBANK PRIVATE LIMITED,Insurance,$10B,0.79
JBH,JB HI-FI LIMITED,Consumer Discretionary Distribution & Retail,$10B,-0.02
TNE,TECHNOLOGY ONE LIMITED,Software & Services,$10B,0.85
NXT,NEXTDC LIMITED,Software & Services,$10B,-1.22
EVN,EVOLUTION MINING LIMITED,Materials,$10B,-2.22
VCX,VICINITY CENTRES,Equity Real Estate Investment Trusts (REITs),$10B,4.39
APA,APA GROUP,Utilities,$9B,1.11
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,Not Applic,$9B,-2.12
TWE,TREASURY WINE ESTATES LIMITED,"Food, Beverage & Tobacco",$9B,-0.43
CSC,CAPSTONE COPPER CORP.,Materials,$9B,2.4
GPT,GPT GROUP,Equity Real Estate Investment Trusts (REITs),$9B,4.48
BSL,BLUESCOPE STEEL LIMITED,Materials,$9B,-4.07
YAL,YANCOAL AUSTRALIA LIMITED,Energy,$8B,-0.93
TLX,TELIX PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$8B,0.32
TPG,TPG TELECOM LIMITED.,Telecommunication Services,$8B,0.23
ORI,ORICA LIMITED,Materials,$8B,-3.79
SEK,SEEK LIMITED,Media & Entertainment,$8B,-3.71
RHC,RAMSAY HEALTH CARE LIMITED,Health Care Equipment & Services,$8B,-4.72
MGR,MIRVAC GROUP,Equity Real Estate Investment Trusts (REITs),$8B,1.02
LTM,ARCADIUM LITHIUM PLC,Materials,$8B,3.77
EDV,ENDEAVOUR GROUP LIMITED,Consumer Staples Distribution & Retail,$8B,-0.47
ALQ,ALS LIMITED,Commercial & Professional Services,$8B,-0.64
MCY,MERCURY NZ LIMITED,Utilities,$8B,1.12
BEN,BENDIGO AND ADELAIDE BANK LIMITED,Banks,$7B,-2.08
AGL,AGL ENERGY LIMITED.,Utilities,$7B,2.04
DXS,DEXUS,Equity Real Estate Investment Trusts (REITs),$7B,6.13
WOR,WORLEY LIMITED,Capital Goods,$7B,3.94
NWL,NETWEALTH GROUP LIMITED,Financial Services,$7B,-1.1
QUB,QUBE HOLDINGS LIMITED,Transportation,$7B,1.79
CHC,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs),$7B,3.15
ALX,ATLAS ARTERIA,Transportation,$7B,2.42
ARG,ARGO INVESTMENTS LIMITED,Not Applic,$7B,-0.11
MIN,MINERAL RESOURCES LIMITED,Materials,$7B,-1.99
EBO,EBOS GROUP LIMITED,Health Care Equipment & Services,$7B,3.73
CEN,CONTACT ENERGY LIMITED,Utilities,$7B,1.84
SDF,STEADFAST GROUP LIMITED,Insurance,$7B,-0.34
NXG,NEXGEN ENERGY (CANADA) LTD,Energy,$6B,-3.48
PLS,PILBARA MINERALS LIMITED,Materials,$6B,0.46
ALD,AMPOL LIMITED,Energy,$6B,1.4
GQG,GQG PARTNERS INC.,Financial Services,$6B,-8.0
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services,$6B,-1.83
LYC,LYNAS RARE EARTHS LIMITED,Materials,$6B,-2.86
AZJ,AURIZON HOLDINGS LIMITED,Transportation,$6B,0.31
HVN,HARVEY NORMAN HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$6B,-3.68
HUB,HUB24 LIMITED,Financial Services,$6B,-1.59
IPL,INCITEC PIVOT LIMITED,Materials,$6B,-5.13
PMV,PREMIER INVESTMENTS LIMITED,Consumer Discretionary Distribution & Retail,$5B,-2.08
PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,Financial Services,$5B,-4.73
BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel,$5B,-2.31
WHC,WHITEHAVEN COAL LIMITED,Energy,$5B,-4.28
360,LIFE360 INC.,Software & Services,$5B,-3.93
SPK,SPARK NEW ZEALAND LIMITED,Telecommunication Services,$5B,0.38
ANN,ANSELL LIMITED,Health Care Equipment & Services,$5B,0.24
ATM,ANEKA TAMBANG (PERSERO) TBK (PT),Materials,$5B,0.0
BOQ,BANK OF QUEENSLAND LIMITED.,Banks,$4B,-1.62
SFR,SANDFIRE RESOURCES LIMITED,Materials,$4B,-0.62
DEG,DE GREY MINING LIMITED,Materials,$4B,-3.79
LLC,LENDLEASE GROUP,Real Estate Management & Development,$4B,-2.47
SIG,SIGMA HEALTHCARE LIMITED,Health Care Equipment & Services,$4B,-2.94
NHC,NEW HOPE CORPORATION LIMITED,Energy,$4B,2.02
HMC,HMC CAPITAL LIMITED,Equity Real Estate Investment Trusts (REITs),$4B,1.4
GYG,GUZMAN Y GOMEZ LIMITED,Consumer Services,$4B,0.02
CGF,CHALLENGER LIMITED,Financial Services,$4B,-0.83
A2M,THE A2 MILK COMPANY LIMITED,"Food, Beverage & Tobacco",$4B,0.87
VEA,VIVA ENERGY GROUP LIMITED,Energy,$4B,1.15
AMP,AMP LIMITED,Financial Services,$4B,0.93
RWC,RELIANCE WORLDWIDE CORPORATION LIMITED,Capital Goods,$4B,-1.73
BKW,BRICKWORKS LIMITED,Materials,$4B,-1.87
ZIP,ZIP CO LIMITED..,Financial Services,$4B,0.0
IGO,IGO LIMITED,Materials,$4B,-4.37
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,Consumer Services,$4B,-1.2
DOW,DOWNER EDI LIMITED,Commercial & Professional Services,$4B,-1.83
AUB,AUB GROUP LIMITED,Insurance,$4B,-0.61
PRU,PERSEUS MINING LIMITED,Materials,$4B,-5.58
NIC,NICKEL INDUSTRIES LIMITED,Materials,$4B,-2.92
SUL,SUPER RETAIL GROUP LIMITED,Consumer Discretionary Distribution & Retail,$3B,4.6
CNU,CHORUS LIMITED,Telecommunication Services,$3B,-1.96
MTS,METCASH LIMITED,Consumer Staples Distribution & Retail,$3B,-0.94
ARB,ARB CORPORATION LIMITED.,Automobiles & Components,$3B,2.53
NSR,NATIONAL STORAGE REIT,Equity Real Estate Investment Trusts (REITs),$3B,2.95
LOV,LOVISA HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$3B,0.26
IEL,IDP EDUCATION LIMITED,Consumer Services,$3B,0.91
ORA,ORORA LIMITED,Materials,$3B,3.36
BPT,BEACH ENERGY LIMITED,Energy,$3B,2.21
PDN,PALADIN ENERGY LTD,Energy,$3B,1.07
BFL,BSP FINANCIAL GROUP LIMITED,Banks,$3B,-3.53
VNT,VENTIA SERVICES GROUP LIMITED,Capital Goods,$3B,5.22
APE,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail,$3B,-2.67
CIA,CHAMPION IRON LIMITED,Materials,$3B,0.52
CDA,CODAN LIMITED,Technology Hardware & Equipment,$3B,1.94
MSB,MESOBLAST LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$3B,31.44
GMD,GENESIS MINERALS LIMITED,Materials,$3B,-3.8
TUA,TUAS LIMITED,Telecommunication Services,$3B,6.98
SNZ,SUMMERSET GROUP HOLDINGS LIMITED,Health Care Equipment & Services,$3B,0.09
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services,$3B,-1.57
FBU,FLETCHER BUILDING LIMITED,Capital Goods,$3B,0.79
WGX,WESTGOLD RESOURCES LIMITED.,Materials,$3B,-9.84
CLW,CHARTER HALL LONG WALE REIT,Equity Real Estate Investment Trusts (REITs),$3B,3.49
MFF,MFF CAPITAL INVESTMENTS LIMITED,Not Applic,$3B,0.22
NHF,NIB HOLDINGS LIMITED,Insurance,$3B,-0.89
SMR,STANMORE RESOURCES LIMITED,Materials,$3B,-2.61
CMM,CAPRICORN METALS LTD,Materials,$3B,-6.84
RGN,REGION GROUP,Equity Real Estate Investment Trusts (REITs),$3B,1.87
DGT,DIGICO INFRASTRUCTURE REIT,Class Pend,$2B,-1.08
RMS,RAMELIUS RESOURCES LIMITED,Materials,$2B,-5.38
HDN,HOMECO DAILY NEEDS REIT,Equity Real Estate Investment Trusts (REITs),$2B,-0.43
BWP,BWP TRUST,Equity Real Estate Investment Trusts (REITs),$2B,2.08
IFL,INSIGNIA FINANCIAL LTD,Financial Services,$2B,-0.83
PXA,PEXA GROUP LIMITED,Real Estate Management & Development,$2B,-1.2
GNE,GENESIS ENERGY LIMITED,Utilities,$2B,8.81
SGM,SIMS LIMITED,Materials,$2B,-4.5
PPT,PERPETUAL LIMITED,Financial Services,$2B,-0.1
MXT,METRICS MASTER INCOME TRUST,Not Applic,$2B,0.48
SSR,SSR MINING INC.,Materials,$2B,2.51
EMR,EMERALD RESOURCES NL,Materials,$2B,-9.84
GOR,GOLD ROAD RESOURCES LIMITED,Materials,$2B,-4.25
MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,Software & Services,$2B,0.16
RDX,REDOX LIMITED,Capital Goods,$2B,9.0
ILU,ILUKA RESOURCES LIMITED,Materials,$2B,-1.18
NXL,NUIX LIMITED,Software & Services,$2B,-0.16
JDO,JUDO CAPITAL HOLDINGS LIMITED,Banks,$2B,-1.34
DRR,DETERRA ROYALTIES LIMITED,Materials,$2B,-0.78
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,Media & Entertainment,$2B,-0.4
RRL,REGIS RESOURCES LIMITED,Materials,$2B,-5.82
MFG,MAGELLAN FINANCIAL GROUP LIMITED,Financial Services,$2B,1.18
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,Consumer Services,$2B,-4.56
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,Equity Real Estate Investment Trusts (REITs),$2B,4.53
INA,INGENIA COMMUNITIES GROUP,Equity Real Estate Investment Trusts (REITs),$2B,-1.48
CQR,CHARTER HALL RETAIL REIT,Equity Real Estate Investment Trusts (REITs),$2B,-2.17
REG,REGIS HEALTHCARE LIMITED,Health Care Equipment & Services,$2B,-6.48
EVT,EVT LIMITED,Media & Entertainment,$2B,-2.15
LSF,L1 LONG SHORT FUND LIMITED,Not Applic,$2B,-2.96
CIP,CENTURIA INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs),$2B,1.05
WEB,WEB TRAVEL GROUP LIMITED,Consumer Services,$2B,-0.86
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,Transportation,$2B,3.48
IRE,IRESS LIMITED,Software & Services,$2B,-1.69
AIZ,AIR NEW ZEALAND LIMITED,Transportation,$2B,5.94
NWH,NRW HOLDINGS LIMITED,Capital Goods,$2B,1.87
BGA,BEGA CHEESE LIMITED,"Food, Beverage & Tobacco",$2B,4.94
WAM,WAM CAPITAL LIMITED,Not Applic,$2B,2.29
WAF,WEST AFRICAN RESOURCES LIMITED,Materials,$2B,-5.26
SDR,SITEMINDER LIMITED,Software & Services,$2B,-4.45
SPR,SPARTAN RESOURCES LIMITED,Materials,$2B,-6.43
WLE,WAM LEADERS LIMITED,Not Applic,$2B,0.81
MGH,MAAS GROUP HOLDINGS LIMITED,Capital Goods,$2B,0.85
GNC,GRAINCORP LIMITED,Consumer Staples Distribution & Retail,$2B,-1.07
WPR,WAYPOINT REIT,Equity Real Estate Investment Trusts (REITs),$2B,2.5
OCL,OBJECTIVE CORPORATION LIMITED,Software & Services,$2B,4.33
NEU,NEUREN PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$2B,-7.29
TPW,TEMPLE & WEBSTER GROUP LTD,Consumer Discretionary Distribution & Retail,$2B,-1.55
DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.,Media & Entertainment,$2B,0.79
ARF,ARENA REIT.,Equity Real Estate Investment Trusts (REITs),$2B,2.08
BAP,BAPCOR LIMITED,Consumer Discretionary Distribution & Retail,$2B,-0.22
IPX,IPERIONX LIMITED,Materials,$2B,14.16
CNI,CENTURIA CAPITAL GROUP,Equity Real Estate Investment Trusts (REITs),$2B,0.68
DDR,DICKER DATA LIMITED,Technology Hardware & Equipment,$2B,0.48
FRW,FREIGHTWAYS GROUP LIMITED,Transportation,$2B,0.0
ASK,ABACUS STORAGE KING,Equity Real Estate Investment Trusts (REITs),$2B,4.39
AOV,AMOTIV LIMITED,Automobiles & Components,$1B,-0.66
MAC,MAC COPPER LIMITED,Materials,$1B,-4.25
BGL,BELLEVUE GOLD LIMITED,Materials,$1B,-9.64
PNV,POLYNOVO LIMITED,Health Care Equipment & Services,$1B,-0.48
SNL,SUPPLY NETWORK LIMITED,Consumer Discretionary Distribution & Retail,$1B,-2.06
IPH,IPH LIMITED,Commercial & Professional Services,$1B,-2.56
ELD,ELDERS LIMITED,"Food, Beverage & Tobacco",$1B,-0.41
BKI,BKI INVESTMENT COMPANY LIMITED,Not Applic,$1B,-0.29
NUF,NUFARM LIMITED,Materials,$1B,-1.92
CU6,CLARITY PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$1B,-13.23
ZIM,ZIMPLATS HOLDINGS LIMITED,Materials,$1B,-9.18
MND,MONADELPHOUS GROUP LIMITED,Capital Goods,$1B,2.9
TAH,TABCORP HOLDINGS LIMITED,Consumer Services,$1B,0.85
AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail,$1B,3.9
PRN,PERENTI LIMITED,Materials,$1B,4.87
LTR,LIONTOWN RESOURCES LIMITED,Materials,$1B,-0.9
ADT,ADRIATIC METALS PLC,Materials,$1B,-5.26
AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,Not Applic,$1B,-2.26
NCK,NICK SCALI LIMITED,Consumer Discretionary Distribution & Retail,$1B,-0.2
OBM,ORA BANDA MINING LTD,Materials,$1B,1.55
CRN,CORONADO GLOBAL RESOURCES INC.,Materials,$1B,-9.2
HLI,HELIA GROUP LIMITED,Financial Services,$1B,0.22
MAD,MADER GROUP LIMITED,Commercial & Professional Services,$1B,1.67
GTK,GENTRACK GROUP LIMITED,Software & Services,$1B,-4.92
IMD,IMDEX LIMITED,Materials,$1B,-1.28
LFS,LATITUDE GROUP HOLDINGS LIMITED,Financial Services,$1B,0.0
MP1,MEGAPORT LIMITED,Software & Services,$1B,-2.03
RPL,REGAL PARTNERS LIMITED,Financial Services,$1B,-0.83
VUL,VULCAN ENERGY RESOURCES LIMITED,Materials,$1B,-6.24
SLX,SILEX SYSTEMS LIMITED,Capital Goods,$1B,-4.26
SGF,SG FLEET GROUP LIMITED,Commercial & Professional Services,$1B,-0.29
ING,INGHAMS GROUP LIMITED,"Food, Beverage & Tobacco",$1B,-2.84
DUI,DIVERSIFIED UNITED INVESTMENT LIMITED,Not Applic,$1B,-1.5
DYL,DEEP YELLOW LIMITED,Energy,$1B,-5.51
ASB,AUSTAL LIMITED,Capital Goods,$1B,2.67
GDG,GENERATION DEVELOPMENT GROUP LIMITED,Insurance,$1B,-3.42
CCP,CREDIT CORP GROUP LIMITED,Financial Services,$1B,-2.19
HSN,HANSEN TECHNOLOGIES LIMITED,Software & Services,$1B,-0.37
IDX,INTEGRAL DIAGNOSTICS LIMITED,Health Care Equipment & Services,$1B,-2.38
GEM,G8 EDUCATION LIMITED,Consumer Services,$1B,-2.21
SLC,SUPERLOOP LIMITED,Telecommunication Services,$1B,-0.47
MAF,MA FINANCIAL GROUP LIMITED,Financial Services,$1B,0.51
PGF,PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED,Not Applic,$1B,-1.78
JLG,JOHNS LYNG GROUP LIMITED,Capital Goods,$1B,1.09
ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs),$1B,5.75
ABB,AUSSIE BROADBAND LIMITED,Telecommunication Services,$1B,-2.49
LIC,LIFESTYLE COMMUNITIES LIMITED,Real Estate Management & Development,$1B,2.37
SIQ,SMARTGROUP CORPORATION LTD,Commercial & Professional Services,$1B,-2.3
HLS,HEALIUS LIMITED,Health Care Equipment & Services,$1B,-1.39
DTL,DATA#3 LIMITED,Software & Services,$1B,-3.89
MYR,MYER HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$1B,0.42
LFG,LIBERTY FINANCIAL GROUP,Financial Services,$1B,-0.31
MMS,MCMILLAN SHAKESPEARE LIMITED,Commercial & Professional Services,$1B,1.54
CMW,CROMWELL PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),$995M,8.11
KAR,KAROON ENERGY LTD,Energy,$995M,2.38
KLS,KELSIAN GROUP LIMITED,Transportation,$984M,2.47
SKC,SKYCITY ENTERTAINMENT GROUP LIMITED,Consumer Services,$981M,-2.7
CQE,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,Equity Real Estate Investment Trusts (REITs),$979M,3.89
BVS,BRAVURA SOLUTIONS LIMITED.,Software & Services,$973M,0.93
BOE,BOSS ENERGY LTD,Energy,$967M,0.0
BGP,BRISCOE GROUP AUSTRALASIA LIMITED,Consumer Discretionary Distribution & Retail,$958M,0.0
SSM,SERVICE STREAM LIMITED,Capital Goods,$958M,1.95
VSL,VULCAN STEEL LIMITED,Materials,$955M,8.69
A4N,ALPHA HPA LIMITED,Materials,$943M,-1.73
PL8,PLATO INCOME MAXIMISER LIMITED.,Not Applic,$928M,1.22
NAN,NANOSONICS LIMITED,Health Care Equipment & Services,$926M,2.33
CAT,CATAPULT GROUP INTERNATIONAL LTD,Software & Services,$926M,-4.8
UOS,UNITED OVERSEAS AUSTRALIA LIMITED,Real Estate Management & Development,$917M,0.92
OPT,OPTHEA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$893M,19.69
JIN,JUMBO INTERACTIVE LIMITED,Consumer Services,$880M,-0.5
CBO,COBRAM ESTATE OLIVES LIMITED,"Food, Beverage & Tobacco",$871M,4.48
GCI,GRYPHON CAPITAL INCOME TRUST,Not Applic,$868M,0.98
CKF,COLLINS FOODS LIMITED,Consumer Services,$860M,-2.91
RSG,RESOLUTE MINING LIMITED,Materials,$852M,0.0
RIC,RIDLEY CORPORATION LIMITED,"Food, Beverage & Tobacco",$846M,0.0
WA1,WA1 RESOURCES LTD,Materials,$845M,-9.51
DJW,DJERRIWARRH INVESTMENTS LIMITED,Not Applic,$844M,1.9
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,"Food, Beverage & Tobacco",$844M,1.81
EQT,EQT HOLDINGS LIMITED,Financial Services,$836M,0.29
HGH,HEARTLAND GROUP HOLDINGS LIMITED,Banks,$834M,2.31
DXI,DEXUS INDUSTRIA REIT.,Equity Real Estate Investment Trusts (REITs),$825M,0.0
PGC,PARAGON CARE LIMITED,Health Care Equipment & Services,$819M,2.04
ERA,ENERGY RESOURCES OF AUSTRALIA LIMITED,Energy,$811M,20.0
QAL,QUALITAS LIMITED,Real Estate Management & Development,$804M,-4.35
PWH,PWR HOLDINGS LIMITED,Automobiles & Components,$799M,-2.09
CIN,CARLTON INVESTMENTS LIMITED,Not Applic,$797M,-2.43
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,Financial Services,$796M,5.66
WGB,WAM GLOBAL LIMITED,Not Applic,$791M,0.0
QRI,QUALITAS REAL ESTATE INCOME FUND,Financial Services,$790M,0.0
PFP,PROPEL FUNERAL PARTNERS LIMITED,Consumer Services,$789M,2.61
SXG,SOUTHERN CROSS GOLD LTD,Materials,$787M,-10.94
SRG,SRG GLOBAL LIMITED,Capital Goods,$773M,1.95
BCI,BCI MINERALS LIMITED,Materials,$765M,3.92
KKC,KKR CREDIT INCOME FUND,Not Applic,$764M,3.0
MAH,MACMAHON HOLDINGS LIMITED,Materials,$754M,1.43
HPI,HOTEL PROPERTY INVESTMENTS,Equity Real Estate Investment Trusts (REITs),$743M,-0.26
RF1,REGAL INVESTMENT FUND,Not Applic,$731M,0.0
TEA,TASMEA LIMITED,Capital Goods,$712M,3.02
HM1,HEARTS AND MINDS INVESTMENTS LIMITED,Not Applic,$710M,-4.29
MOT,METRICS INCOME OPPORTUNITIES TRUST,Not Applic,$707M,-0.47
ACL,AUSTRALIAN CLINICAL LABS LIMITED,Health Care Equipment & Services,$696M,-2.8
BOT,BOTANIX PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$691M,3.95
PPC,PEET LIMITED,Real Estate Management & Development,$688M,-0.34
RFF,RURAL FUNDS GROUP,Equity Real Estate Investment Trusts (REITs),$682M,1.44
SGLLV,RICEGROWERS LIMITED,"Food, Beverage & Tobacco",$681M,-0.67
PYC,PYC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$677M,-3.45
CVL,CIVMEC LIMITED,Capital Goods,$676M,-1.48
COF,CENTURIA OFFICE REIT,Equity Real Estate Investment Trusts (REITs),$675M,0.44
BLX,BEACON LIGHTING GROUP LIMITED,Consumer Discretionary Distribution & Retail,$672M,-0.63
RUL,RPMGLOBAL HOLDINGS LIMITED,Software & Services,$669M,-0.34
TBN,TAMBORAN RESOURCES CORPORATION,Energy,$665M,3.7
FPR,FLEETPARTNERS GROUP LIMITED,Financial Services,$664M,-8.47
FCL,FINEOS CORPORATION HOLDINGS PLC,Software & Services,$661M,0.81
OPH,OPHIR HIGH CONVICTION FUND,Not Applic,$661M,0.68
VGL,VISTA GROUP INTERNATIONAL LIMITED.,Software & Services,$658M,0.71
WHF,WHITEFIELD INDUSTRIALS LIMITED,Not Applic,$656M,-0.54
MIR,MIRRABOOKA INVESTMENTS LIMITED,Not Applic,$653M,0.59
WBT,WEEBIT NANO LTD,Semiconductors & Semiconductor Equipment,$644M,9.68
GWA,GWA GROUP LIMITED.,Capital Goods,$634M,2.12
OML,OOH!MEDIA LIMITED,Media & Entertainment,$630M,2.17
PPM,PEPPER MONEY LIMITED,Financial Services,$623M,-2.12
AD8,AUDINATE GROUP LIMITED,Technology Hardware & Equipment,$618M,0.41
PAC,PACIFIC CURRENT GROUP LIMITED,Financial Services,$616M,0.85
UNI,UNIVERSAL STORE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$615M,1.5
QOR,QORIA LIMITED,Software & Services,$614M,7.87
KGN,KOGAN.COM LTD,Consumer Discretionary Distribution & Retail,$607M,11.43
CUV,CLINUVEL PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$606M,-0.65
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Financial Services,$600M,-1.29
APX,APPEN LIMITED,Software & Services,$597M,2.34
SHV,SELECT HARVESTS LIMITED,"Food, Beverage & Tobacco",$595M,-0.47
BRN,BRAINCHIP HOLDINGS LTD,Software & Services,$592M,26.0
PMT,PATRIOT BATTERY METALS INC.,Materials,$588M,38.33
PNR,PANTORO LIMITED,Materials,$581M,-1.09
CYL,CATALYST METALS LIMITED,Materials,$579M,-5.19
DVP,DEVELOP GLOBAL LIMITED,Materials,$576M,-2.22
PCI,PERPETUAL CREDIT INCOME TRUST,Not Applic,$571M,0.43
DRO,DRONESHIELD LIMITED,Capital Goods,$571M,4.92
PDI,PREDICTIVE DISCOVERY LIMITED,Materials,$564M,2.17
HCW,HEALTHCO HEALTHCARE AND WELLNESS REIT,Equity Real Estate Investment Trusts (REITs),$564M,0.0
SGR,THE STAR ENTERTAINMENT GROUP LIMITED,Consumer Services,$559M,-5.0
STX,STRIKE ENERGY LIMITED,Energy,$559M,-2.5
FGG,FUTURE GENERATION GLOBAL LIMITED,Not Applic,$553M,-1.77
C79,CHRYSOS CORPORATION LIMITED,Commercial & Professional Services,$547M,3.81
CTT,CETTIRE LIMITED,Consumer Discretionary Distribution & Retail,$541M,17.62
IFM,INFOMEDIA LTD,Software & Services,$535M,4.64
FFM,FIREFLY METALS LTD,Materials,$522M,-3.21
BMN,BANNERMAN ENERGY LTD,Energy,$518M,-4.11
FGX,FUTURE GENERATION AUSTRALIA LIMITED,Not Applic,$513M,0.0
BRE,BRAZILIAN RARE EARTHS LIMITED,Class Pend,$513M,-1.82
